system:time_start,mean_2m_air_temperature,total_precipitation
"Jan 1, 2008",276.705,0.003
"Jan 2, 2008",277.931,0.001
"Jan 3, 2008",279.022,0.001
"Jan 4, 2008",280.345,0
"Jan 5, 2008",282.665,0.001
"Jan 6, 2008",285.172,0
"Jan 7, 2008",286.324,0.001
"Jan 8, 2008",285.529,0.001
"Jan 9, 2008",286.519,0.002
"Jan 10, 2008",286.652,0
"Jan 11, 2008",288.514,0
"Jan 12, 2008",287.268,0.003
"Jan 13, 2008",283.005,0.012
"Jan 14, 2008",281.203,0.007
"Jan 15, 2008",283.096,0.003
"Jan 16, 2008",280.326,0.003
"Jan 17, 2008",280.466,0.003
"Jan 18, 2008",281.577,0.001
"Jan 19, 2008",282.635,0.001
"Jan 20, 2008",285.424,0.001
"Jan 21, 2008",285.558,0.001
"Jan 22, 2008",285.821,0.002
"Jan 23, 2008",285.122,0.004
"Jan 24, 2008",282.59,0.002
"Jan 25, 2008",283.111,0.017
"Jan 26, 2008",283.558,0.022
"Jan 27, 2008",284.422,0.005
"Jan 28, 2008",284.974,0.001
"Jan 29, 2008",284.809,0.004
"Jan 30, 2008",283.928,0.005
"Jan 31, 2008",282.105,0.006
"Feb 1, 2008",283.114,0.002
"Feb 2, 2008",283.748,0.016
"Feb 3, 2008",280.29,0.011
"Feb 4, 2008",280.664,0.016
"Feb 5, 2008",280.822,0.004
"Feb 6, 2008",279.156,0.01
"Feb 7, 2008",277.416,0.015
"Feb 8, 2008",277.582,0.005
"Feb 9, 2008",276.042,0.003
"Feb 10, 2008",278.288,0.004
"Feb 11, 2008",278.954,0.006
"Feb 12, 2008",276.712,0.007
"Feb 13, 2008",276.567,0.005
"Feb 14, 2008",277.046,0.007
"Feb 15, 2008",277.57,0.002
"Feb 16, 2008",278.404,0.001
"Feb 17, 2008",279.612,0.003
"Feb 18, 2008",279.856,0.006
"Feb 19, 2008",280.508,0.001
"Feb 20, 2008",281.631,0.001
"Feb 21, 2008",282.966,0
"Feb 22, 2008",284.185,0.015
"Feb 23, 2008",281.122,0.024
"Feb 24, 2008",281.881,0.003
"Feb 25, 2008",282.386,0.003
"Feb 26, 2008",282.625,0.005
"Feb 27, 2008",280.679,0.003
"Feb 28, 2008",280.672,0.001
"Feb 29, 2008",280.553,0.01
"Mar 1, 2008",281.623,0.002
"Mar 2, 2008",281.504,0.001
"Mar 3, 2008",280.778,0.003
"Mar 4, 2008",279.425,0.001
"Mar 5, 2008",280.803,0.001
"Mar 6, 2008",282.267,0.001
"Mar 7, 2008",281.611,0.004
"Mar 8, 2008",279.48,0.005
"Mar 9, 2008",282.782,0.004
"Mar 10, 2008",282.034,0.008
"Mar 11, 2008",283.715,0.005
"Mar 12, 2008",285.547,0.003
"Mar 13, 2008",284.182,0.002
"Mar 14, 2008",283.411,0.005
