system:time_start,mean_2m_air_temperature,total_precipitation
"Jan 1, 2015",278.733,0
"Jan 2, 2015",280.008,0
"Jan 3, 2015",282.374,0
"Jan 4, 2015",284.205,0
"Jan 5, 2015",285.342,0
"Jan 6, 2015",286.688,0.001
"Jan 7, 2015",281.729,0.001
"Jan 8, 2015",280.617,0
"Jan 9, 2015",282.035,0
"Jan 10, 2015",281.9,0
"Jan 11, 2015",282.583,0.001
"Jan 12, 2015",282.295,0.003
"Jan 13, 2015",284.581,0.005
"Jan 14, 2015",282.628,0
"Jan 15, 2015",283.147,0
"Jan 16, 2015",282.66,0.001
"Jan 17, 2015",280.906,0
"Jan 18, 2015",282.815,0
"Jan 19, 2015",282.19,0
"Jan 20, 2015",284.75,0.001
"Jan 21, 2015",281.079,0.004
"Jan 22, 2015",278.078,0
"Jan 23, 2015",281.011,0
"Jan 24, 2015",283.567,0
"Jan 25, 2015",284.825,0
"Jan 26, 2015",284.44,0.001
"Jan 27, 2015",283.005,0.002
"Jan 28, 2015",282.471,0.001
"Jan 29, 2015",284.089,0.001
"Jan 30, 2015",281.814,0.001
"Jan 31, 2015",280.873,0.001
"Feb 1, 2015",282.469,0
"Feb 2, 2015",283.27,0
"Feb 3, 2015",282.923,0.002
"Feb 4, 2015",279.892,0.004
"Feb 5, 2015",276.531,0.007
"Feb 6, 2015",278.14,0.002
"Feb 7, 2015",280.911,0.006
"Feb 8, 2015",276.38,0.005
"Feb 9, 2015",275.244,0.003
"Feb 10, 2015",277.716,0.001
"Feb 11, 2015",280.267,0.002
"Feb 12, 2015",279.199,0
"Feb 13, 2015",283.131,0
"Feb 14, 2015",285.073,0
"Feb 15, 2015",286.769,0.005
"Feb 16, 2015",286.364,0.002
"Feb 17, 2015",284.863,0.001
"Feb 18, 2015",284.087,0
"Feb 19, 2015",283.532,0
"Feb 20, 2015",285.006,0.001
"Feb 21, 2015",285.588,0.004
"Feb 22, 2015",286.883,0.001
"Feb 23, 2015",286.58,0.002
"Feb 24, 2015",286.607,0.002
"Feb 25, 2015",287.646,0
"Feb 26, 2015",287.431,0
"Feb 27, 2015",287.988,0
"Feb 28, 2015",287.778,0
"Mar 1, 2015",284.093,0
"Mar 2, 2015",284.34,0.001
"Mar 3, 2015",286.455,0.001
"Mar 4, 2015",284.077,0.002
"Mar 5, 2015",286.465,0.001
"Mar 6, 2015",286.006,0.006
"Mar 7, 2015",286.349,0.001
"Mar 8, 2015",287.346,0
"Mar 9, 2015",284.401,0.004
"Mar 10, 2015",279.452,0.017
"Mar 11, 2015",281.205,0.01
"Mar 12, 2015",281.036,0.001
"Mar 13, 2015",285.682,0
"Mar 14, 2015",287.541,0.001
"Mar 15, 2015",288.828,0.002
"Mar 16, 2015",289.316,0.005
"Mar 17, 2015",290.544,0.002
"Mar 18, 2015",291.977,0
"Mar 19, 2015",292.437,0
"Mar 20, 2015",290.879,0
"Mar 21, 2015",289.5,0.001
"Mar 22, 2015",287.457,0.002
"Mar 23, 2015",284.476,0.037
"Mar 24, 2015",282.816,0.02
"Mar 25, 2015",282.472,0.021
"Mar 26, 2015",285.229,0.03
"Mar 27, 2015",285.257,0.007
"Mar 28, 2015",286.658,0
"Mar 29, 2015",289.01,0.001
"Mar 30, 2015",289.736,0.002
"Mar 31, 2015",290.578,0.003
"Apr 1, 2015",291.281,0.004
"Apr 2, 2015",292.124,0.003
"Apr 3, 2015",292.358,0.002
"Apr 4, 2015",293.113,0.001
"Apr 5, 2015",293.074,0.004
"Apr 6, 2015",291.511,0.025
"Apr 7, 2015",287.259,0.003
"Apr 8, 2015",285.283,0.001
"Apr 9, 2015",286.578,0.002
"Apr 10, 2015",285.352,0.015
"Apr 11, 2015",283.626,0.03
"Apr 12, 2015",284.957,0.005
"Apr 13, 2015",282.81,0.002
"Apr 14, 2015",282.857,0
"Apr 15, 2015",286.593,0
"Apr 16, 2015",288.673,0
"Apr 17, 2015",290.668,0
"Apr 18, 2015",291.788,0.008
"Apr 19, 2015",292.997,0.004
"Apr 20, 2015",291.694,0.006
"Apr 21, 2015",288.116,0.002
"Apr 22, 2015",288.297,0.001
"Apr 23, 2015",289.735,0.005
"Apr 24, 2015",289.136,0.017
"Apr 25, 2015",289.072,0.004
"Apr 26, 2015",289.948,0.005
"Apr 27, 2015",290.52,0.005
"Apr 28, 2015",290.933,0.009
"Apr 29, 2015",290.987,0.017
"Apr 30, 2015",290.827,0.001
"May 1, 2015",290.567,0.014
"May 2, 2015",291.927,0.005
"May 3, 2015",291.786,0.004
"May 4, 2015",290.045,0.016
"May 5, 2015",289.212,0.013
"May 6, 2015",290.93,0.004
"May 7, 2015",291.613,0.007
"May 8, 2015",291.186,0.016
"May 9, 2015",291.813,0.005
"May 10, 2015",291.56,0.012
"May 11, 2015",291.342,0.006
"May 12, 2015",290.361,0.003
"May 13, 2015",292.176,0.005
"May 14, 2015",292.149,0.003
"May 15, 2015",293.216,0.001
"May 16, 2015",293.233,0
"May 17, 2015",292.475,0
"May 18, 2015",294.021,0
"May 19, 2015",293.77,0.003
"May 20, 2015",289.335,0.021
"May 21, 2015",288.077,0.011
"May 22, 2015",290.933,0.018
"May 23, 2015",290.99,0.047
"May 24, 2015",290.795,0.095
"May 25, 2015",290.652,0.018
"May 26, 2015",290.679,0.046
"May 27, 2015",292.258,0.011
"May 28, 2015",293.295,0.002
"May 29, 2015",294.038,0.007
"May 30, 2015",294.087,0.004
"May 31, 2015",291.743,0.016
"Jun 1, 2015",292.58,0.006
"Jun 2, 2015",293.7,0.006
"Jun 3, 2015",293.573,0.003
"Jun 4, 2015",293.043,0.001
"Jun 5, 2015",293.541,0.002
"Jun 6, 2015",292.049,0.005
"Jun 7, 2015",292.357,0.007
"Jun 8, 2015",293.793,0.001
"Jun 9, 2015",294.057,0.001
"Jun 10, 2015",294.653,0.001
"Jun 11, 2015",295.021,0.001
"Jun 12, 2015",294.523,0.007
"Jun 13, 2015",293.808,0.009
"Jun 14, 2015",293.115,0.01
"Jun 15, 2015",293.591,0.004
"Jun 16, 2015",294.69,0.001
"Jun 17, 2015",295.24,0
"Jun 18, 2015",294.79,0
"Jun 19, 2015",294.682,0.001
"Jun 20, 2015",293.777,0.007
"Jun 21, 2015",292.871,0.022
"Jun 22, 2015",293.366,0.029
"Jun 23, 2015",292.717,0.036
"Jun 24, 2015",293.703,0.009
"Jun 25, 2015",295.241,0.006
"Jun 26, 2015",295.73,0.003
"Jun 27, 2015",295.714,0.001
"Jun 28, 2015",295.382,0
"Jun 29, 2015",294.731,0.002
"Jun 30, 2015",295.446,0.001
"Jul 1, 2015",295.363,0
"Jul 2, 2015",294.481,0.004
"Jul 3, 2015",293.905,0.001
"Jul 4, 2015",293.651,0.006
"Jul 5, 2015",295.284,0.008
"Jul 6, 2015",294.642,0.006
"Jul 7, 2015",294,0.009
"Jul 8, 2015",294.913,0.001
"Jul 9, 2015",294.273,0.022
"Jul 10, 2015",292.299,0.092
"Jul 11, 2015",294.39,0.003
"Jul 12, 2015",294.162,0.009
"Jul 13, 2015",293.496,0.006
"Jul 14, 2015",294.007,0.001
"Jul 15, 2015",293.3,0.007
"Jul 16, 2015",294.26,0.005
"Jul 17, 2015",294.002,0.004
"Jul 18, 2015",294.233,0.007
"Jul 19, 2015",292.239,0.043
"Jul 20, 2015",292.817,0.021
"Jul 21, 2015",294.513,0.029
"Jul 22, 2015",293.097,0.031
"Jul 23, 2015",292.173,0.022
"Jul 24, 2015",293.336,0.008
"Jul 25, 2015",293.541,0.005
"Jul 26, 2015",293.657,0.008
"Jul 27, 2015",291.789,0.015
"Jul 28, 2015",290.536,0.031
"Jul 29, 2015",291.722,0.006
"Jul 30, 2015",291.856,0.015
"Jul 31, 2015",292.313,0.007
"Aug 1, 2015",292.573,0.004
"Aug 2, 2015",292.583,0.002
"Aug 3, 2015",293.169,0.002
"Aug 4, 2015",292.726,0.003
"Aug 5, 2015",291.96,0.002
"Aug 6, 2015",294.036,0.005
"Aug 7, 2015",292.758,0.275
"Aug 8, 2015",292.403,0.092
"Aug 9, 2015",292.063,0.012
"Aug 10, 2015",292.85,0.01
"Aug 11, 2015",293.676,0.008
"Aug 12, 2015",294.03,0.007
"Aug 13, 2015",292.53,0.016
"Aug 14, 2015",292.253,0.016
"Aug 15, 2015",293.92,0.007
"Aug 16, 2015",292.39,0.02
"Aug 17, 2015",292.24,0.013
"Aug 18, 2015",292.549,0.013
"Aug 19, 2015",293.057,0.013
"Aug 20, 2015",295.08,0
"Aug 21, 2015",295.771,0.001
