system:time_start,mean_2m_air_temperature,total_precipitation
"Jan 1, 1979",281.847,0.083
"Feb 1, 1979",282.521,0.107
"Mar 1, 1979",284.565,0.193
"Apr 1, 1979",287.079,0.229
"May 1, 1979",287.798,0.432
"Jun 1, 1979",289.395,0.29
"Jul 1, 1979",291.764,0.217
"Aug 1, 1979",290.652,0.698
"Sep 1, 1979",289.671,0.159
"Oct 1, 1979",286.338,0.086
"Nov 1, 1979",283.749,0.178
"Dec 1, 1979",281.966,0.025
"Jan 1, 1980",280.253,0.155
"Feb 1, 1980",281.461,0.196
"Mar 1, 1980",285.552,0.075
"Apr 1, 1980",286.399,0.263
"May 1, 1980",288.886,0.26
"Jun 1, 1980",290.741,0.097
"Jul 1, 1980",291.539,0.228
"Aug 1, 1980",290.675,0.645
"Sep 1, 1980",289.749,0.261
"Oct 1, 1980",287.462,0.131
"Nov 1, 1980",285.548,0.129
"Dec 1, 1980",279.921,0.14
"Jan 1, 1981",279.598,0.071
"Feb 1, 1981",282.088,0.144
"Mar 1, 1981",285.079,0.241
"Apr 1, 1981",287.645,0.117
"May 1, 1981",287.886,0.254
"Jun 1, 1981",290.137,0.897
"Jul 1, 1981",290.643,0.391
"Aug 1, 1981",291.893,0.272
"Sep 1, 1981",289.904,0.449
"Oct 1, 1981",288.268,0.122
"Nov 1, 1981",285.087,0.172
"Dec 1, 1981",280.94,0.093
"Jan 1, 1982",279.727,0.072
"Feb 1, 1982",282.474,0.146
"Mar 1, 1982",285.452,0.152
"Apr 1, 1982",285.127,0.223
"May 1, 1982",288.91,0.174
"Jun 1, 1982",289.849,0.271
"Jul 1, 1982",291.505,0.586
"Aug 1, 1982",290.79,0.538
"Sep 1, 1982",289.947,0.167
"Oct 1, 1982",287.339,0.067
"Nov 1, 1982",285.887,0.179
"Dec 1, 1982",281.176,0.066
"Jan 1, 1983",280.536,0.147
"Feb 1, 1983",280.765,0.519
"Mar 1, 1983",282.886,0.509
"Apr 1, 1983",287.702,0.111
"May 1, 1983",288.503,0.383
"Jun 1, 1983",290.532,0.302
"Jul 1, 1983",291.889,0.125
"Aug 1, 1983",290.716,0.203
"Sep 1, 1983",290.412,0.164
"Oct 1, 1983",288.862,0.108
"Nov 1, 1983",282.912,0.038
"Dec 1, 1983",279.83,0.137
"Jan 1, 1984",279.891,0.103
"Feb 1, 1984",281.714,0.135
"Mar 1, 1984",283.17,0.189
"Apr 1, 1984",286.314,0.294
"May 1, 1984",288.009,0.33
"Jun 1, 1984",290.673,0.171
"Jul 1, 1984",290.804,0.195
"Aug 1, 1984",291.038,0.482
"Sep 1, 1984",289.618,0.192
"Oct 1, 1984",287.376,0.394
"Nov 1, 1984",285.648,0.064
"Dec 1, 1984",281.525,0.075
"Jan 1, 1985",280.267,0.137
"Feb 1, 1985",283.048,0.409
"Mar 1, 1985",284.066,0.147
"Apr 1, 1985",286.104,0.236
"May 1, 1985",289.253,0.313
"Jun 1, 1985",290.595,0.372
"Jul 1, 1985",290.698,0.205
"Aug 1, 1985",289.89,0.473
"Sep 1, 1985",290.143,0.408
"Oct 1, 1985",288.623,0.192
"Nov 1, 1985",284.293,0.087
"Dec 1, 1985",280.894,0.134
