system:time_start,mean_2m_air_temperature,total_precipitation
"Jan 1, 1979",283.027,0.065
"Feb 1, 1979",283.955,0.074
"Mar 1, 1979",285.803,0.177
"Apr 1, 1979",288.781,0.21
"May 1, 1979",289.508,0.474
"Jun 1, 1979",291.411,0.522
"Jul 1, 1979",293.972,0.286
"Aug 1, 1979",292.757,0.742
"Sep 1, 1979",291.37,0.288
"Oct 1, 1979",287.464,0.164
"Nov 1, 1979",284.824,0.141
"Dec 1, 1979",283.476,0.024
"Jan 1, 1980",281.263,0.105
"Feb 1, 1980",282.349,0.139
"Mar 1, 1980",287.005,0.066
"Apr 1, 1980",287.945,0.252
"May 1, 1980",290.686,0.351
"Jun 1, 1980",292.846,0.237
"Jul 1, 1980",293.754,0.346
"Aug 1, 1980",292.699,0.741
"Sep 1, 1980",291.386,0.359
"Oct 1, 1980",289.303,0.135
"Nov 1, 1980",287.123,0.126
"Dec 1, 1980",281.186,0.069
"Jan 1, 1981",280.878,0.032
"Feb 1, 1981",283.189,0.083
"Mar 1, 1981",286.89,0.243
"Apr 1, 1981",289.53,0.139
"May 1, 1981",289.746,0.318
"Jun 1, 1981",292.113,1.018
"Jul 1, 1981",292.775,0.546
"Aug 1, 1981",293.901,0.295
"Sep 1, 1981",291.9,0.416
"Oct 1, 1981",289.802,0.124
"Nov 1, 1981",286.347,0.175
"Dec 1, 1981",281.844,0.062
"Jan 1, 1982",281.032,0.029
"Feb 1, 1982",283.485,0.111
"Mar 1, 1982",286.77,0.115
"Apr 1, 1982",286.674,0.225
"May 1, 1982",290.842,0.222
"Jun 1, 1982",291.984,0.343
"Jul 1, 1982",293.352,0.676
"Aug 1, 1982",293.038,0.51
"Sep 1, 1982",291.853,0.151
"Oct 1, 1982",289.267,0.061
"Nov 1, 1982",287.52,0.16
"Dec 1, 1982",282.17,0.032
"Jan 1, 1983",281.612,0.135
"Feb 1, 1983",282.026,0.472
"Mar 1, 1983",284.3,0.427
"Apr 1, 1983",289.743,0.182
"May 1, 1983",290.75,0.427
"Jun 1, 1983",292.854,0.344
"Jul 1, 1983",294.107,0.305
"Aug 1, 1983",292.632,0.309
"Sep 1, 1983",292.483,0.27
"Oct 1, 1983",290.633,0.168
"Nov 1, 1983",284.304,0.023
"Dec 1, 1983",280.837,0.068
"Jan 1, 1984",280.666,0.048
"Feb 1, 1984",282.327,0.059
"Mar 1, 1984",284.799,0.129
"Apr 1, 1984",287.951,0.297
"May 1, 1984",289.981,0.371
"Jun 1, 1984",292.779,0.337
"Jul 1, 1984",293.071,0.256
"Aug 1, 1984",293.142,0.628
"Sep 1, 1984",291.588,0.324
"Oct 1, 1984",288.991,0.288
"Nov 1, 1984",287.146,0.087
"Dec 1, 1984",282.505,0.037
"Jan 1, 1985",281.347,0.075
"Feb 1, 1985",284.22,0.367
"Mar 1, 1985",284.886,0.116
"Apr 1, 1985",287.753,0.248
"May 1, 1985",291.26,0.305
"Jun 1, 1985",292.676,0.504
"Jul 1, 1985",292.782,0.393
"Aug 1, 1985",291.925,0.548
"Sep 1, 1985",292.157,0.485
"Oct 1, 1985",290.517,0.237
"Nov 1, 1985",285.924,0.082
"Dec 1, 1985",281.925,0.112
"Jan 1, 1986",280.225,0.028
"Feb 1, 1986",280.163,0.164
"Mar 1, 1986",284.165,0.241
"Apr 1, 1986",289.52,0.117
"May 1, 1986",290.756,0.459
"Jun 1, 1986",292.506,0.563
"Jul 1, 1986",293.33,0.348
"Aug 1, 1986",293.465,0.468
"Sep 1, 1986",291.617,0.531
"Oct 1, 1986",289.288,0.091
"Nov 1, 1986",286.802,0.188
"Dec 1, 1986",283.821,0.049
"Jan 1, 1987",282.122,0.071
"Feb 1, 1987",283.267,0.088
"Mar 1, 1987",286.916,0.212
"Apr 1, 1987",288.665,0.172
"May 1, 1987",290.333,0.349
"Jun 1, 1987",292.412,0.372
"Jul 1, 1987",293.514,0.615
"Aug 1, 1987",293.528,0.294
"Sep 1, 1987",291.027,0.337
"Oct 1, 1987",290.688,0.215
"Nov 1, 1987",288.014,0.148
"Dec 1, 1987",282.676,0.094
"Jan 1, 1988",283.821,0.084
"Feb 1, 1988",283.881,0.074
"Mar 1, 1988",285.548,0.183
"Apr 1, 1988",287.718,0.279
"May 1, 1988",292.05,0.335
"Jun 1, 1988",293.421,0.326
"Jul 1, 1988",294.631,0.22
"Aug 1, 1988",293.02,0.439
"Sep 1, 1988",291.831,0.372
"Oct 1, 1988",290.309,0.426
"Nov 1, 1988",284.669,0.094
"Dec 1, 1988",282.341,0.04
"Jan 1, 1989",283.723,0.046
"Feb 1, 1989",283.18,0.026
"Mar 1, 1989",284.202,0.122
"Apr 1, 1989",289.026,0.286
"May 1, 1989",290.49,0.475
"Jun 1, 1989",292.725,0.25
"Jul 1, 1989",293.303,0.387
"Aug 1, 1989",293.295,0.236
"Sep 1, 1989",292.155,0.676
"Oct 1, 1989",289.506,0.146
"Nov 1, 1989",285.825,0.085
"Dec 1, 1989",282.428,0.085
"Jan 1, 1990",282.568,0.131
"Feb 1, 1990",284.927,0.149
"Mar 1, 1990",285.279,0.15
"Apr 1, 1990",288.436,0.519
"May 1, 1990",290.982,0.262
"Jun 1, 1990",293.048,0.736
"Jul 1, 1990",293.75,0.194
"Aug 1, 1990",293.661,0.765
"Sep 1, 1990",292.071,0.575
"Oct 1, 1990",289.21,0.098
"Nov 1, 1990",287.155,0.06
"Dec 1, 1990",283.803,0.026
"Jan 1, 1991",282.592,0.094
"Feb 1, 1991",282.865,0.075
"Mar 1, 1991",287.666,0.137
"Apr 1, 1991",289.375,0.127
"May 1, 1991",291.41,0.282
"Jun 1, 1991",292.637,0.419
"Jul 1, 1991",294.014,0.312
"Aug 1, 1991",293.508,0.28
"Sep 1, 1991",292.235,0.391
"Oct 1, 1991",288.123,0.163
"Nov 1, 1991",285.63,0.08
"Dec 1, 1991",283.513,0.065
"Jan 1, 1992",280.904,0.069
"Feb 1, 1992",282.128,0.323
"Mar 1, 1992",286.589,0.198
"Apr 1, 1992",288.185,0.372
"May 1, 1992",289.632,0.381
"Jun 1, 1992",292.241,0.251
"Jul 1, 1992",293.278,0.251
"Aug 1, 1992",293.06,0.69
"Sep 1, 1992",292.513,0.523
"Oct 1, 1992",288.346,0.081
"Nov 1, 1992",285.657,0.049
"Dec 1, 1992",284.94,0.081
"Jan 1, 1993",280.891,0.089
"Feb 1, 1993",283.966,0.041
"Mar 1, 1993",285.491,0.228
"Apr 1, 1993",288.223,0.271
"May 1, 1993",290.949,0.285
"Jun 1, 1993",292.857,0.421
"Jul 1, 1993",293.676,0.234
"Aug 1, 1993",293.343,0.3
"Sep 1, 1993",291.728,0.18
"Oct 1, 1993",288.66,0.147
"Nov 1, 1993",288.04,0.122
"Dec 1, 1993",283.507,0.048
"Jan 1, 1994",282.948,0.067
"Feb 1, 1994",284.363,0.214
"Mar 1, 1994",284.372,0.141
"Apr 1, 1994",290.694,0.15
"May 1, 1994",291.627,0.355
"Jun 1, 1994",293.077,0.414
"Jul 1, 1994",293.779,0.53
"Aug 1, 1994",293.213,0.838
"Sep 1, 1994",291.046,0.266
"Oct 1, 1994",288.379,0.417
"Nov 1, 1994",287.469,0.017
"Dec 1, 1994",286.554,0.103
"Jan 1, 1995",281.553,0.115
"Feb 1, 1995",280.877,0.181
"Mar 1, 1995",284.565,0.181
